stem,storage_day,pred_class,area_um2,circularity,sum_I,npix,I_bg,dry_mass_pg
20110511_5,0,1,93.566,0.861,209448.0,4506.0,65.0,31.69140992437062
20110511_5,0,1,83.308,0.8947,217639.0,4012.0,65.0,32.9307836051435
20110511_5,0,1,70.268,0.8426,154465.0,3384.0,65.0,23.371976022534987
20110511_5,0,1,86.527,0.8134,208496.0,4167.0,65.0,31.547363563230856
20110511_5,0,1,82.582,0.8957,219855.0,3977.0,65.0,33.26608479872093
20110511_5,0,1,79.425,0.8565,226149.0,3825.0,65.0,34.218424921634444
20110511_5,0,1,87.98,0.8885,214461.0,4237.0,65.0,32.449922958397536
20110511_5,0,1,96.349,0.8703,191282.0,4640.0,65.0,28.942726944890666
20110511_6,0,1,92.258,0.4536,397381.0,4443.0,52.0,60.127402348823196
20110511_6,0,1,19.332,0.6756,83301.0,931.0,52.0,12.604207908932036
20110511_6,0,1,63.81,0.8862,239780.0,3073.0,52.0,36.28092066606312
20110511_6,0,1,55.504,0.8964,174297.0,2673.0,52.0,26.372740134009522
20110511_6,0,1,69.874,0.8892,264811.0,3365.0,52.0,40.068341323299855
20110511_6,0,4,48.278,0.8967,204115.0,2325.0,52.0,30.884477945422773
20110511_6,0,1,104.094,0.6555,464715.0,5013.0,52.0,70.31565621540378
20110511_6,0,1,59.221,0.8841,259618.0,2852.0,52.0,39.28259263275491
20110511_6,0,1,31.438,0.7348,120328.0,1514.0,52.0,18.20673376389208
20110511_6,0,1,54.819,0.9197,199991.0,2640.0,52.0,30.26047879275431
20110511_6,0,3,47.24,0.7958,179826.0,2275.0,52.0,27.209328716721433
20110511_6,0,1,57.996,0.9044,203962.0,2793.0,52.0,30.861327637382452
20110511_6,0,1,52.182,0.9021,186538.0,2513.0,52.0,28.224916086437908
20110511_6,0,1,58.017,0.8897,195466.0,2794.0,52.0,29.575804649731808
20110511_6,0,1,63.229,0.9075,221916.0,3045.0,52.0,33.577933065852285
20110511_6,0,1,63.499,0.9041,206805.0,3058.0,52.0,31.291499701164327
20110511_6,0,1,60.841,0.8791,171083.0,2930.0,52.0,25.886432355959947
20110511_6,0,1,58.183,0.8831,185530.0,2802.0,52.0,28.07239640993698
20110511_6,0,1,67.589,0.8722,174999.0,3255.0,52.0,26.478959194429805
20110511_6,0,1,43.253,0.8896,141695.0,2083.0,52.0,21.43975750178419
20110511_6,0,1,59.325,0.9187,170761.0,2857.0,52.0,25.83771079263326
20110511_6,0,1,53.49,0.8526,134267.0,2576.0,52.0,20.315832742807142
20110511_6,0,1,53.137,0.8668,139683.0,2559.0,52.0,21.13532338559385
20110511_6,0,1,106.067,0.5117,338014.0,5108.0,52.0,51.14462890157085
20110511_6,0,1,107.063,0.4646,341617.0,5156.0,52.0,51.68979595953993
20110511_6,0,1,50.604,0.8827,141375.0,2437.0,52.0,21.39133855686326
20110511_6,0,1,50.811,0.873,139021.0,2447.0,52.0,21.03515669328868
20110511_6,0,1,52.099,0.9097,171594.0,2509.0,52.0,25.963751358630553
20110511_6,0,1,57.788,0.8927,152725.0,2783.0,52.0,23.108698009527437
20110511_6,0,1,61.755,0.9048,148649.0,2974.0,52.0,22.491961698597116
20110511_6,0,1,103.492,0.5932,355529.0,4984.0,52.0,53.794809589977284
20110511_6,0,1,36.629,0.8127,91672.0,1764.0,52.0,13.870817246222945
20110516_1,5,1,85.738,0.876,251103.0,4129.0,50.0,37.99419477024959
20110516_1,5,1,73.819,0.876,251281.0,3555.0,50.0,38.021127808361854
20110516_1,5,1,74.504,0.8785,240893.0,3588.0,50.0,36.449327808866215
